table_type,subset,cohort,window_type,window_value,definition,phase_mode,assumption_based_historical,n_windows,n_classifiable,positives,false_positive_rate,wilson95_low,wilson95_high,indeterminate_rate,positive_rate_all_attempted,unstable_denominator,interpretation_note,n_participants,pattern_category,indeterminate_reason,n_indeterminate,p_prevalence_ge_39_1,p_prevalence_ge_44_2
window_false_positive,all,healthy_ovulatory,calendar,1,A_exact_any,luteal_anchored_ovulatory,False,50000,0.0,0.0,,,,1.0,0.0,False,,,,,,,
window_false_positive,all,healthy_ovulatory,calendar,3,A_exact_any,luteal_anchored_ovulatory,False,50000,0.0,0.0,,,,1.0,0.0,False,,,,,,,
window_false_positive,all,healthy_ovulatory,calendar,4,A_exact_any,luteal_anchored_ovulatory,False,50000,0.0,0.0,,,,1.0,0.0,False,,,,,,,
window_false_positive,all,healthy_ovulatory,calendar,6,A_exact_any,luteal_anchored_ovulatory,False,50000,0.0,0.0,,,,1.0,0.0,False,,,,,,,
window_false_positive,all,healthy_ovulatory,calendar,9,A_exact_any,luteal_anchored_ovulatory,False,50000,0.0,0.0,,,,1.0,0.0,False,,,,,,,
window_false_positive,all,healthy_ovulatory,calendar,12,A_exact_any,luteal_anchored_ovulatory,False,50000,0.0,0.0,,,,1.0,0.0,False,,,,,,,
window_false_positive,all,healthy_ovulatory,calendar,18,A_exact_any,luteal_anchored_ovulatory,False,50000,0.0,0.0,,,,1.0,0.0,False,,,,,,,
window_false_positive,all,healthy_ovulatory,calendar,24,A_exact_any,luteal_anchored_ovulatory,False,50000,0.0,0.0,,,,1.0,0.0,False,,,,,,,
window_false_positive,all,healthy_ovulatory,calendar,36,A_exact_any,luteal_anchored_ovulatory,False,50000,0.0,0.0,,,,1.0,0.0,False,,,,,,,
window_false_positive,all,healthy_ovulatory,cycle,3,A_exact_any,luteal_anchored_ovulatory,False,50000,0.0,0.0,,,,1.0,0.0,False,,,,,,,
window_false_positive,all,healthy_ovulatory,cycle,6,A_exact_any,luteal_anchored_ovulatory,False,50000,0.0,0.0,,,,1.0,0.0,False,,,,,,,
window_false_positive,all,healthy_ovulatory,cycle,12,A_exact_any,luteal_anchored_ovulatory,False,50000,0.0,0.0,,,,1.0,0.0,False,,,,,,,
window_false_positive,all,healthy_ovulatory,full,full_diary,A_exact_any,luteal_anchored_ovulatory,False,50000,0.0,0.0,,,,1.0,0.0,False,,,,,,,
window_false_positive,all,healthy_ovulatory,calendar,1,A_exact_any,strict_herzog,False,50000,0.0,0.0,,,,1.0,0.0,False,,,,,,,
window_false_positive,all,healthy_ovulatory,calendar,3,A_exact_any,strict_herzog,False,50000,0.0,0.0,,,,1.0,0.0,False,,,,,,,
window_false_positive,all,healthy_ovulatory,calendar,4,A_exact_any,strict_herzog,False,50000,0.0,0.0,,,,1.0,0.0,False,,,,,,,
window_false_positive,all,healthy_ovulatory,calendar,6,A_exact_any,strict_herzog,False,50000,0.0,0.0,,,,1.0,0.0,False,,,,,,,
window_false_positive,all,healthy_ovulatory,calendar,9,A_exact_any,strict_herzog,False,50000,0.0,0.0,,,,1.0,0.0,False,,,,,,,
window_false_positive,all,healthy_ovulatory,calendar,12,A_exact_any,strict_herzog,False,50000,0.0,0.0,,,,1.0,0.0,False,,,,,,,
window_false_positive,all,healthy_ovulatory,calendar,18,A_exact_any,strict_herzog,False,50000,0.0,0.0,,,,1.0,0.0,False,,,,,,,
window_false_positive,all,healthy_ovulatory,calendar,24,A_exact_any,strict_herzog,False,50000,0.0,0.0,,,,1.0,0.0,False,,,,,,,
window_false_positive,all,healthy_ovulatory,calendar,36,A_exact_any,strict_herzog,False,50000,0.0,0.0,,,,1.0,0.0,False,,,,,,,
window_false_positive,all,healthy_ovulatory,cycle,3,A_exact_any,strict_herzog,False,50000,23200.0,11555.0,0.4980603448275862,0.49162734995592605,0.5044939819295844,0.536,0.2311,False,,,,,,,
window_false_positive,all,healthy_ovulatory,cycle,6,A_exact_any,strict_herzog,False,50000,0.0,0.0,,,,1.0,0.0,False,,,,,,,
window_false_positive,all,healthy_ovulatory,cycle,12,A_exact_any,strict_herzog,False,50000,0.0,0.0,,,,1.0,0.0,False,,,,,,,
window_false_positive,all,healthy_ovulatory,full,full_diary,A_exact_any,strict_herzog,False,50000,0.0,0.0,,,,1.0,0.0,False,,,,,,,
window_false_positive,all,population,calendar,1,A_exact_any,luteal_anchored_ovulatory,False,50000,0.0,0.0,,,,1.0,0.0,False,,,,,,,
window_false_positive,all,population,calendar,3,A_exact_any,luteal_anchored_ovulatory,False,50000,0.0,0.0,,,,1.0,0.0,False,,,,,,,
window_false_positive,all,population,calendar,4,A_exact_any,luteal_anchored_ovulatory,False,50000,0.0,0.0,,,,1.0,0.0,False,,,,,,,
window_false_positive,all,population,calendar,6,A_exact_any,luteal_anchored_ovulatory,False,50000,0.0,0.0,,,,1.0,0.0,False,,,,,,,
window_false_positive,all,population,calendar,9,A_exact_any,luteal_anchored_ovulatory,False,50000,0.0,0.0,,,,1.0,0.0,False,,,,,,,
window_false_positive,all,population,calendar,12,A_exact_any,luteal_anchored_ovulatory,False,50000,0.0,0.0,,,,1.0,0.0,False,,,,,,,
window_false_positive,all,population,calendar,18,A_exact_any,luteal_anchored_ovulatory,False,50000,0.0,0.0,,,,1.0,0.0,False,,,,,,,
window_false_positive,all,population,calendar,24,A_exact_any,luteal_anchored_ovulatory,False,50000,0.0,0.0,,,,1.0,0.0,False,,,,,,,
window_false_positive,all,population,calendar,36,A_exact_any,luteal_anchored_ovulatory,False,50000,0.0,0.0,,,,1.0,0.0,False,,,,,,,
window_false_positive,all,population,cycle,3,A_exact_any,luteal_anchored_ovulatory,False,50000,0.0,0.0,,,,1.0,0.0,False,,,,,,,
window_false_positive,all,population,cycle,6,A_exact_any,luteal_anchored_ovulatory,False,50000,0.0,0.0,,,,1.0,0.0,False,,,,,,,
window_false_positive,all,population,cycle,12,A_exact_any,luteal_anchored_ovulatory,False,50000,0.0,0.0,,,,1.0,0.0,False,,,,,,,
window_false_positive,all,population,full,full_diary,A_exact_any,luteal_anchored_ovulatory,False,50000,0.0,0.0,,,,1.0,0.0,False,,,,,,,
